国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
49,49,54,54,60,48,56,56,62,52,55,41
57,60,48,51,64,59,61,64,67,55,58,54
65,69,50,51,54,44,55,59,66,53,61,52
55,57,49,51,61,55,58,61,66,53,57,50
43,40,45,45,47,33,45,45,57,43,45,31
36,33,45,47,54,44,50,49,58,44,44,31
63,66,62,61,65,53,64,64,68,61,67,52
55,58,38,43,55,52,53,59,65,48,51,50
52,53,44,46,53,45,52,55,62,48,51,44
61,65,53,55,64,57,62,65,68,57,63,55
44,42,49,50,51,38,49,49,58,46,49,33
66,70,57,59,72,67,69,72,72,63,69,62
59,62,51,52,61,54,59,62,67,55,60,52
63,66,55,55,59,49,59,61,66,56,63,52
47,46,53,53,57,45,54,54,61,50,53,39
66,71,62,62,75,69,72,73,73,65,71,62
63,66,52,53,57,47,57,59,66,54,61,51
47,47,53,55,69,62,63,63,66,55,57,47
47,46,61,59,62,47,59,56,62,55,58,38
62,66,56,56,61,52,60,62,67,57,64,53
61,63,50,49,45,31,48,50,61,48,56,42
38,34,44,46,53,43,49,49,58,44,44,32
59,62,47,51,64,61,61,65,68,55,59,55
59,61,55,54,56,44,56,57,64,54,60,47
63,67,56,58,70,65,67,70,71,61,66,60
73,80,56,58,68,62,67,72,73,63,71,66
51,51,46,48,52,42,51,53,61,48,52,41
74,81,60,61,73,68,71,75,75,66,74,68
65,70,45,50,69,69,65,72,72,58,63,65
73,79,57,59,70,65,68,73,73,64,72,66
74,82,48,53,71,72,69,76,75,62,69,72
57,59,55,55,57,44,56,57,64,54,60,46
71,77,48,51,57,51,58,64,69,56,64,60
73,79,45,47,47,38,51,57,66,51,61,56
68,74,52,55,67,62,65,70,71,60,67,63
62,65,54,56,66,59,63,66,69,58,64,56
47,46,58,58,66,55,61,60,64,56,58,42
66,70,64,63,69,58,67,68,70,64,71,57
59,62,50,51,55,45,55,57,64,52,58,48
48,46,52,51,47,30,47,46,57,46,51,32
67,72,56,56,61,51,61,63,68,58,66,56
75,81,54,55,62,55,63,68,71,60,70,63
70,75,48,48,44,31,48,53,63,50,60,50
57,58,57,56,57,44,56,56,63,54,60,44
51,51,58,58,65,54,61,61,65,56,60,45
56,57,59,58,59,45,58,57,64,55,61,44
45,43,44,45,51,41,48,50,59,45,47,36
61,64,50,53,68,65,64,68,70,58,62,59
69,74,60,60,64,53,63,66,69,61,69,57
59,62,60,60,66,55,63,64,67,59,65,51
52,53,47,49,59,52,56,59,64,51,54,47
51,51,48,51,63,57,59,61,65,52,55,48
69,75,50,54,70,68,67,73,73,61,66,66
66,69,54,54,58,47,58,61,67,56,64,53
70,76,57,59,72,68,69,74,73,64,71,66
60,63,47,48,48,38,50,53,62,49,56,46
58,60,60,60,66,55,63,63,67,59,64,50
54,55,58,59,74,68,68,69,69,60,63,54
54,55,51,53,63,56,59,61,66,54,57,49
61,65,51,54,68,64,64,68,70,58,63,58
50,50,53,55,68,61,63,64,66,55,58,49
67,71,59,60,69,62,67,69,71,62,69,60
70,76,52,55,65,60,64,69,71,60,67,63
67,72,51,55,70,68,67,72,72,61,66,64
63,67,60,62,79,75,73,75,73,66,70,63
60,63,50,51,51,40,52,55,63,51,58,46
61,63,45,46,43,31,46,50,61,46,54,44
59,62,53,54,64,56,61,63,67,56,61,53
68,74,54,57,77,77,72,77,75,64,69,69
58,60,49,49,48,35,49,51,61,49,56,43
60,62,60,59,62,49,60,61,66,58,64,49
46,45,46,48,52,41,50,50,59,46,49,37
44,41,51,51,55,42,51,51,59,48,50,35
53,53,60,60,68,58,64,63,66,59,62,48
61,65,52,54,65,59,62,66,69,57,62,56
71,78,53,56,68,64,66,72,73,61,69,65
59,62,49,51,60,53,58,62,66,54,59,52
57,58,55,55,58,45,56,57,64,54,59,45
52,53,51,53,60,51,57,59,64,53,56,46
55,56,55,55,56,43,55,55,63,53,58,43
60,63,46,49,60,55,58,62,67,53,58,54
57,59,58,58,65,54,62,62,66,57,62,50
74,81,53,55,60,52,61,66,70,59,69,62
51,50,39,41,38,24,39,43,56,40,45,34
55,57,49,51,60,53,58,60,65,53,57,49
68,74,56,57,67,61,66,69,71,61,68,61
