国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
68,65,58,73,50,43,41,46,37,57,61,56
66,79,56,61,51,57,61,44,43,67,72,61
73,75,49,62,52,43,39,76,52,59,78,56
68,70,57,57,54,63,59,45,47,67,70,64
62,68,51,60,47,33,34,44,39,59,66,46
64,68,51,61,45,54,40,26,36,59,52,53
75,73,67,78,50,60,42,77,53,65,73,69
60,77,40,53,53,52,49,37,51,64,66,56
58,66,46,59,44,43,34,52,43,58,63,49
76,78,62,64,48,56,59,57,47,66,74,61
56,69,50,66,45,46,42,48,39,53,63,39
78,76,56,69,56,58,55,57,55,63,77,78
67,77,58,62,54,47,58,52,50,64,74,66
66,76,55,74,48,54,54,65,56,64,74,65
60,68,56,69,47,42,34,48,40,54,70,45
75,83,61,80,57,74,66,65,55,66,72,77
69,78,55,65,46,55,44,71,50,61,75,58
70,73,62,68,54,54,66,35,46,60,67,60
64,66,60,71,55,55,45,69,38,58,59,56
70,73,63,73,52,49,47,74,54,68,77,71
61,64,55,58,48,33,35,69,50,54,72,43
59,62,53,56,44,53,34,39,35,62,60,51
72,78,50,59,55,56,51,48,45,63,70,60
64,78,55,73,47,50,39,77,50,60,70,56
71,76,59,68,58,61,54,58,54,66,76,69
74,78,63,71,51,57,66,69,54,69,80,82
62,66,51,63,49,46,35,58,47,57,72,47
76,84,59,68,54,62,61,80,58,68,81,73
72,74,56,62,59,73,59,44,50,74,67,83
72,77,56,69,57,63,63,67,60,71,84,76
82,86,49,57,53,70,65,52,57,72,83,77
64,75,57,75,46,45,40,65,45,62,74,56
67,81,52,67,48,58,52,68,61,61,83,68
65,76,53,56,43,41,47,83,65,60,82,62
72,76,60,62,54,60,67,59,54,64,74,67
68,77,60,64,50,64,46,64,55,63,75,60
62,68,55,75,59,48,47,54,44,65,64,62
71,79,62,80,52,58,57,79,56,62,75,61
71,68,57,63,50,44,49,62,47,63,75,50
61,62,61,65,50,31,26,65,40,57,70,37
67,73,55,75,51,55,44,81,51,63,73,68
72,84,54,71,50,52,58,85,56,70,79,78
65,68,57,59,45,39,40,91,63,57,83,61
65,71,57,74,54,38,38,70,45,62,70,55
68,76,58,68,58,60,45,62,38,62,66,59
73,76,58,72,46,51,50,74,49,59,70,58
64,71,48,54,48,37,30,40,46,60,68,52
75,71,53,65,54,67,51,55,46,67,73,71
76,72,58,72,56,47,48,86,51,67,81,59
75,72,62,71,55,61,50,71,54,60,71,71
71,71,55,58,52,50,52,47,44,60,65,55
64,74,47,56,57,61,61,40,45,67,66,67
77,80,58,67,55,59,69,58,48,71,70,78
73,78,53,65,45,46,49,76,58,60,77,54
74,85,62,74,58,67,68,68,58,72,80,84
60,72,54,57,50,41,44,62,52,56,68,50
74,75,67,76,53,47,43,73,44,63,70,68
70,79,59,77,60,72,56,46,42,61,68,75
67,76,57,60,54,60,48,52,41,67,66,64
73,79,57,63,51,67,62,61,54,65,69,73
66,74,53,65,59,65,60,49,42,65,68,70
70,81,60,73,51,53,65,68,50,69,77,73
80,77,57,64,56,57,55,72,50,65,78,73
79,78,52,64,52,64,70,57,57,70,78,72
80,87,67,71,61,64,61,51,53,68,66,80
63,68,55,64,51,43,46,72,47,56,72,62
61,66,54,55,39,34,31,65,50,64,78,52
74,75,60,68,54,52,45,64,50,60,74,58
83,76,58,69,61,75,62,61,47,75,78,82
64,65,51,68,41,37,30,72,46,61,76,51
73,79,60,68,49,55,47,68,44,57,69,62
61,65,48,54,50,38,40,47,37,53,68,46
62,69,50,68,51,38,35,42,44,53,65,53
74,77,61,79,56,62,48,65,43,65,72,55
70,74,61,72,52,59,56,65,46,70,68,67
73,84,58,62,54,68,51,70,56,67,75,73
70,77,51,59,55,48,42,50,51,66,75,68
73,76,58,69,51,51,44,70,49,58,69,54
65,77,54,60,47,47,39,48,43,59,63,64
64,69,53,71,48,49,35,75,46,55,67,57
