国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
49,48,54,54,60,48,56,56,45,56,55,41
57,59,48,49,64,59,64,61,49,61,58,54
65,70,50,51,54,44,54,62,50,64,61,52
55,56,49,50,61,55,60,58,47,59,57,50
43,40,45,45,46,33,45,45,36,44,45,31
36,32,45,45,54,44,52,44,35,42,44,31
63,66,62,63,65,53,60,68,54,70,67,52
55,57,38,40,55,52,58,53,43,53,51,50
52,53,44,45,53,45,54,52,42,52,51,44
61,65,53,55,64,57,62,64,52,66,63,55
44,42,50,50,51,38,48,48,39,48,49,33
65,70,57,59,72,67,70,71,57,73,69,62
59,62,51,52,61,54,60,61,49,62,60,52
63,66,55,56,59,49,57,64,51,65,63,52
47,46,53,53,57,45,53,53,43,53,53,39
66,70,62,63,75,69,71,73,58,75,71,62
63,67,52,53,57,47,56,62,50,64,61,51
47,46,54,54,69,62,65,58,47,58,56,47
47,46,61,61,62,47,55,58,46,59,58,38
62,66,56,57,62,52,59,65,52,66,64,53
61,63,50,51,45,31,45,56,45,58,56,42
38,34,44,44,53,43,51,44,36,42,44,32
58,61,47,49,65,61,65,61,49,62,59,56
59,62,55,56,56,44,54,61,48,62,60,47
63,67,56,57,70,65,68,69,55,70,66,60
73,80,56,58,68,62,67,74,59,76,71,66
51,51,46,47,52,42,52,52,42,52,51,41
74,81,60,61,73,68,71,77,61,80,74,68
65,70,45,47,69,69,70,66,53,67,63,65
73,80,57,59,70,65,68,74,59,77,72,66
74,82,48,50,71,72,73,73,59,75,69,72
58,59,55,56,57,44,54,60,48,61,60,46
71,78,48,50,57,51,59,66,53,68,64,60
73,80,45,47,47,38,51,62,50,65,62,56
68,74,52,54,67,62,66,69,55,71,67,63
62,65,54,55,66,59,64,65,52,66,64,56
47,45,58,59,66,55,60,58,46,58,58,42
66,70,64,65,69,58,63,72,57,75,71,57
59,62,50,51,55,45,54,59,47,60,58,48
48,46,52,53,47,30,44,50,40,51,51,32
67,72,56,57,61,51,59,67,54,69,66,56
75,82,54,56,62,55,62,71,57,74,70,63
70,76,48,49,44,31,46,60,48,63,60,50
57,58,57,57,57,44,53,60,48,61,60,44
51,51,58,58,65,54,60,60,48,61,59,45
56,57,59,60,59,45,54,61,49,63,61,44
45,43,44,44,51,40,50,47,38,46,47,36
61,64,50,51,68,65,67,64,52,65,62,59
69,74,60,61,64,53,60,70,56,73,69,57
60,62,60,61,66,55,61,66,52,67,65,51
52,53,47,48,59,52,58,55,45,55,54,47
51,51,48,49,63,57,62,56,45,56,55,48
69,75,50,52,69,68,70,70,56,71,67,66
65,70,54,55,58,47,56,64,52,67,64,53
70,76,57,58,72,68,70,73,58,75,71,66
60,63,47,48,49,38,49,56,45,58,56,46
58,60,60,61,66,55,61,65,52,67,64,50
54,55,58,59,74,68,69,65,52,65,63,54
54,55,51,52,63,56,61,59,47,59,57,49
61,64,51,53,68,64,67,65,52,66,63,58
50,50,53,54,68,61,64,59,47,59,58,49
67,71,59,60,69,62,66,71,56,73,69,60
70,76,52,54,65,60,65,70,56,72,67,63
67,72,51,53,70,68,70,69,55,70,66,64
63,67,60,61,79,75,74,73,58,74,70,63
60,63,50,51,51,40,51,58,47,60,58,46
61,64,45,46,43,31,45,54,43,55,54,44
59,61,53,54,64,56,62,63,50,64,61,53
68,73,54,56,77,76,76,73,58,74,69,69
59,61,49,50,48,35,48,55,45,57,56,43
60,62,60,60,62,49,57,64,51,66,64,49
46,44,47,47,52,41,51,49,39,48,49,37
44,41,51,52,55,41,51,50,40,50,50,35
53,53,60,61,69,58,63,63,50,64,62,48
61,65,52,53,65,59,64,64,52,65,62,56
71,78,53,55,68,64,67,72,57,74,69,66
59,62,49,50,60,53,60,61,49,61,59,52
57,58,55,56,58,45,54,60,48,61,59,45
52,53,51,52,60,51,58,57,46,58,56,46
55,56,55,56,56,43,53,58,47,59,58,43
60,63,46,47,60,55,61,60,48,60,58,54
57,59,58,58,64,54,60,63,50,65,62,50
74,81,53,55,60,53,60,70,56,73,69,62
51,51,39,40,37,24,40,44,36,45,45,34
55,57,49,50,61,53,59,58,47,59,57,49
68,74,56,57,67,61,65,70,56,72,68,62
51,51,51,51,53,41,51,53,43,54,54,40
60,64,52,53,70,66,68,66,53,66,63,59
58,61,47,48,54,45,54,57,46,58,56,48
59,61,57,58,64,55,61,64,51,66,63,51
55,56,57,57,62,51,58,61,48,62,60,46
54,55,52,53,55,43,52,56,45,57,56,43
74,81,56,57,60,50,59,70,56,73,69,60
51,51,53,54,67,59,63,59,48,60,58,48
63,67,49,50,56,48,57,61,49,63,60,53
52,52,56,56,65,56,61,60,48,60,59,46
62,66,53,54,59,50,58,63,51,65,62,52
65,70,52,54,61,54,60,65,52,67,64,56
63,67,50,51,57,48,57,62,50,63,61,53
71,77,69,70,68,54,61,76,60,80,76,58
55,56,48,49,52,41,51,54,44,55,54,43
59,61,53,54,50,35,48,57,46,59,58,43
57,58,61,61,75,69,70,68,54,69,66,56
39,36,49,49,58,48,55,48,39,47,48,35
53,54,42,43,53,46,55,52,42,52,51,45
67,72,52,54,62,55,62,67,54,69,65,58
52,52,52,53,59,49,56,57,45,57,56,44
49,48,62,62,64,49,56,59,47,60,60,40
52,52,48,49,61,53,59,56,45,56,55,47
46,45,47,48,56,46,54,51,41,50,50,39
57,58,54,55,55,43,53,58,47,60,58,45
61,64,54,55,52,38,50,60,48,62,60,45
50,49,56,56,67,58,62,59,48,60,58,46
62,66,55,56,71,67,69,68,54,69,66,60
62,66,47,49,52,42,53,59,47,60,58,49
48,47,67,66,68,53,59,62,49,63,62,41
67,72,50,51,68,65,68,68,55,69,65,64
50,50,43,44,50,40,50,50,40,50,49,40
51,51,49,50,53,42,52,53,43,53,53,40
68,73,54,56,65,59,64,69,55,71,67,60
48,47,47,48,59,51,57,52,42,52,51,43
52,52,58,58,67,57,62,61,49,62,60,47
67,72,57,58,73,69,71,72,57,74,69,64
53,54,68,68,78,67,69,69,55,70,68,51
73,81,49,51,59,53,61,68,54,70,66,63
54,55,55,56,56,43,53,58,46,59,58,43
67,73,41,43,58,56,62,62,50,63,60,61
48,47,62,62,62,47,55,58,47,59,59,39
62,65,61,62,59,44,54,65,52,67,65,48
56,57,57,58,66,56,62,63,50,64,62,50
73,80,51,53,71,70,71,73,58,75,70,70
42,39,42,42,48,37,48,44,35,43,44,33
48,46,63,62,53,33,46,55,44,56,57,32
51,52,49,50,64,59,63,58,46,57,56,49
62,65,55,56,57,45,54,62,50,64,62,49
60,63,51,52,61,53,60,62,49,63,60,52
62,65,54,55,63,56,61,64,51,66,63,54
69,75,53,54,55,44,54,65,52,68,65,55
48,47,49,49,50,37,48,50,40,50,50,36
58,60,61,62,79,74,73,70,56,71,68,59
47,45,52,52,59,48,55,53,43,53,53,40
46,45,51,51,54,41,51,51,41,51,51,37
57,58,63,64,72,63,66,67,54,69,66,52
67,72,62,63,78,73,73,75,60,77,72,65
49,48,60,60,60,45,54,58,46,59,58,39
63,66,68,68,68,54,61,71,56,73,71,52
71,78,54,56,73,71,72,74,59,75,70,69
58,60,55,55,57,45,55,60,48,62,60,47
58,60,57,58,69,61,65,65,52,66,64,54
47,46,51,52,59,48,56,54,43,54,53,41
54,55,39,40,51,45,54,51,41,51,50,46
49,48,51,52,64,56,61,57,46,56,55,46
55,56,56,57,58,45,54,59,48,61,60,44
59,62,62,63,78,72,72,71,56,72,69,59
58,60,53,54,65,58,63,63,50,63,61,53
67,73,53,55,65,59,64,68,55,70,66,60
65,69,54,56,58,47,56,64,52,67,64,53
65,69,53,54,64,58,63,66,53,68,64,58
62,66,60,61,63,52,59,66,53,68,66,52
61,64,62,63,67,55,62,68,54,70,67,52
67,72,52,54,62,55,62,67,54,69,65,58
57,59,53,54,67,61,65,63,51,64,61,54
60,63,51,52,61,55,61,62,50,63,60,53
61,63,52,53,62,55,61,63,51,64,61,53
62,65,43,44,50,43,53,56,45,57,55,50
57,58,54,54,57,46,55,59,47,60,59,46
58,60,49,50,52,41,51,56,45,58,56,45
64,67,51,52,55,46,55,62,50,63,61,51
54,55,50,51,62,55,61,58,47,59,57,49
54,55,45,46,56,49,57,55,44,55,53,47
45,44,47,48,57,48,55,51,41,50,50,40
65,69,49,51,64,60,65,65,52,66,63,59
55,57,33,35,44,39,50,48,39,47,46,45
49,48,46,47,49,37,49,49,40,49,50,37
53,54,65,66,72,61,64,66,53,67,65,49
53,53,59,60,66,56,61,62,50,63,61,47
58,61,58,59,77,73,72,69,55,69,66,59
57,59,61,62,71,62,65,66,53,67,65,53
41,36,55,55,46,26,41,46,37,46,48,24
69,75,53,54,64,59,64,69,55,71,67,61
59,62,52,53,68,63,66,64,51,65,62,56
68,73,49,51,53,43,54,63,50,65,62,54
45,42,47,47,35,16,34,42,34,42,44,24
70,77,47,49,68,68,70,69,56,71,66,68
62,65,49,51,63,57,63,63,51,64,61,56
70,77,38,40,42,34,48,57,46,59,56,53
48,47,44,45,53,45,53,50,40,49,49,41
46,44,69,68,70,54,60,62,49,63,62,39
42,39,50,50,58,47,55,50,40,49,50,36
37,32,44,44,43,28,42,39,32,39,41,25
60,63,61,62,57,41,52,63,50,66,64,45
62,67,46,48,67,66,68,64,52,65,61,61
61,64,58,59,67,58,63,66,53,68,65,54
61,64,50,51,62,56,62,62,50,63,61,54
56,57,57,58,71,64,66,64,52,65,63,53
56,57,56,57,66,57,62,62,50,63,61,50
61,65,51,52,66,60,65,64,52,65,62,57
59,62,56,57,67,60,64,65,52,66,63,54
45,43,49,49,46,31,44,47,38,47,48,31
64,67,68,69,73,61,65,73,58,76,72,56
56,58,48,49,63,58,63,60,48,60,58,53
58,60,37,38,40,30,44,48,39,49,48,42
68,74,52,54,59,50,59,66,53,68,64,57
57,60,44,46,57,52,59,57,46,57,55,51
68,73,55,56,62,53,60,68,54,70,66,58
56,58,59,59,62,50,58,62,50,64,62,47
41,38,50,51,61,52,58,51,41,50,50,38
69,74,63,65,74,67,69,75,60,78,73,63
63,67,55,57,74,71,72,70,56,71,67,63
53,53,61,61,57,40,51,58,47,60,60,39
78,86,58,60,64,56,63,75,60,79,73,66
62,66,52,53,61,53,60,64,51,65,62,54
55,57,52,53,55,44,53,57,46,58,57,44
45,43,60,60,64,51,57,56,45,57,57,39
47,45,55,56,65,55,60,57,45,57,56,43
49,49,53,53,66,58,62,58,46,58,56,47
43,40,47,48,58,48,55,49,40,49,49,38
46,44,46,46,51,40,50,48,39,48,48,36
50,50,58,59,73,66,68,63,50,63,61,50
62,65,53,54,62,54,60,64,51,65,62,54
60,63,55,56,64,56,62,64,51,66,63,53
57,59,49,50,49,37,49,55,44,56,55,43
58,59,63,63,68,56,61,66,53,68,65,50
57,59,53,53,61,52,59,61,49,62,60,50
60,63,50,51,62,56,62,62,50,63,60,54
56,58,42,43,56,51,58,55,45,55,54,50
56,57,72,72,76,63,66,71,56,73,70,51
58,60,56,57,74,70,71,67,53,68,64,58
46,45,48,49,54,42,52,50,40,50,50,38
72,78,52,54,68,65,69,72,57,74,69,67
55,57,39,40,46,38,49,50,41,50,49,43
40,36,49,49,49,35,46,45,36,45,46,29
51,51,61,61,62,47,55,60,48,61,60,41
75,82,58,60,68,62,67,75,60,78,73,67
45,43,41,42,52,44,53,47,38,46,46,38
47,46,49,49,62,54,60,54,44,54,53,44
59,61,52,53,51,38,50,58,46,59,58,44
58,60,58,59,59,46,55,62,50,64,62,47
55,56,40,41,53,48,56,53,43,53,51,48
52,52,59,59,61,48,56,59,47,60,59,43
53,54,49,50,49,37,49,53,43,54,53,40
66,71,48,50,64,60,65,65,52,67,63,61
51,52,46,47,55,46,54,53,43,53,52,43
67,73,61,62,70,62,66,72,58,75,71,61
49,49,46,47,53,43,52,51,41,51,51,40
72,79,54,56,67,62,67,72,58,75,70,65
57,58,46,47,42,27,42,51,41,52,52,39
75,83,61,62,70,63,67,77,61,80,75,67
66,71,54,56,64,56,62,67,54,69,66,58
50,50,53,54,64,56,61,58,46,58,57,46
64,68,62,63,66,55,61,69,55,71,68,54
58,60,59,60,69,60,64,66,53,67,65,53
62,66,54,55,71,67,69,68,54,69,65,60
64,68,60,61,70,61,66,70,56,72,68,58
52,52,51,51,58,47,56,56,45,56,55,44
48,47,60,60,68,57,61,60,48,60,59,44
46,44,51,51,64,55,60,54,44,54,53,43
74,81,46,48,55,50,58,66,53,68,64,62
60,62,61,61,58,43,53,63,50,65,63,46
56,57,48,49,64,59,63,59,48,60,57,53
59,62,60,60,70,61,65,67,53,69,66,54
56,57,56,57,64,55,61,62,49,63,61,49
65,69,55,56,68,62,66,68,55,70,66,60
53,53,52,53,53,40,51,55,44,56,55,40
53,53,54,55,61,51,58,58,47,59,58,45
60,63,54,55,68,62,65,66,52,67,64,56
57,58,59,59,68,59,63,65,52,66,63,51
42,40,43,43,55,48,55,47,38,46,46,38
70,75,53,54,63,57,63,69,55,71,67,61
66,70,63,64,64,52,59,70,56,73,69,54
60,63,55,56,59,49,57,62,50,64,62,50
45,43,54,54,65,56,61,56,44,55,55,42
56,57,52,53,54,43,53,57,46,58,57,44
57,58,58,58,67,57,62,64,51,65,63,51
54,55,53,53,48,32,45,53,43,55,55,37
38,35,39,40,51,43,51,42,34,41,42,34
57,59,44,46,45,33,46,52,42,53,52,42
60,63,42,43,47,38,50,54,44,55,53,47
70,76,46,48,57,52,60,65,52,66,62,60
59,62,65,66,81,74,74,73,58,74,70,60
46,44,52,53,62,53,59,54,44,54,54,42
58,60,46,47,49,39,50,55,44,55,54,45
70,75,57,59,59,49,58,69,55,71,68,56
49,48,48,49,59,50,57,54,43,53,53,43
52,52,44,45,56,50,57,53,43,53,52,46
64,67,54,55,64,57,62,66,53,67,64,56
58,60,49,51,69,66,68,63,51,63,60,57
45,43,41,42,58,53,58,49,40,48,47,43
55,56,54,55,70,65,67,63,51,64,61,54
64,68,50,52,55,46,55,62,49,63,60,52
58,60,60,61,69,60,64,66,53,67,65,53
59,62,51,52,63,56,62,62,50,63,60,54
68,73,55,57,63,55,62,68,55,70,67,59
46,44,68,68,78,66,67,65,51,65,64,45
65,70,55,57,58,48,57,65,52,67,64,53
48,47,56,56,60,47,55,56,45,56,56,40
69,76,46,48,66,65,68,68,55,69,65,66
48,47,52,52,56,44,53,53,43,53,53,39
47,46,48,49,53,41,51,50,41,50,50,38
49,49,56,57,64,52,59,58,46,58,57,43
48,47,48,49,55,44,53,51,41,51,51,40
68,73,46,47,42,29,44,58,46,60,58,47
53,53,54,55,54,40,51,56,45,57,56,40
45,43,50,50,52,39,49,49,40,49,50,35
44,42,53,53,56,42,51,51,41,51,52,35
41,38,47,47,58,49,56,48,39,47,48,37
74,81,58,59,59,49,58,71,57,74,70,59
50,49,49,50,52,40,51,52,42,52,52,39
50,49,58,58,67,57,62,60,48,60,59,46
64,68,51,52,54,44,54,61,49,63,61,51
56,58,40,41,50,44,53,52,42,53,51,47
52,52,49,50,57,47,55,55,44,55,54,44
61,64,65,66,78,71,72,73,58,75,71,60
52,53,41,43,56,50,57,53,43,52,51,47
